"Title","Created"
"Cálculo de milhas por hora","1726938126,019575"
"New chat","1726944233,68314"
"Como contar pontos dardos","1726944255,459203"
"Campeonato de Videogame Futebol","1726953600,239804"
"Mapa mental curso Excel","1727194550,201961"
"Projeto curso de Excel","1727388240,536164"
"Nomes para curso","1727390566,850258"
"Canal no YouTube para ensino","1727393578,264005"
"Logo para curso Excel","1727397586,369052"
"Logo Máquina do Excel","1727397734,637795"
"Reformulação de fluxo operacional","1727452726,119899"
"Estruturação Franquia Barbearia","1727538783,482436"
"Planos barbearia Riverfield","1727539810,453259"
"Gravar vídeo hoje","1727544468,909871"
"Como fazer vídeos exemplos","1727547843,550249"
"Vídeos de Excel Shorts","1727548903,606723"
"Planos da Barbearia","1727550782,949652"
"Curso Máquina do Excel","1727613361,444215"
"Grade do curso de Excel","1727647357,93078"
"Expansão de Banco de Dados","1727732161,969983"
"Insônia e questionamento","1727740461,732349"
"Curso de Excel Avançado","1727821327,36565"
"Fórmula Excel para mensagens","1727821579,138381"
"Dashboard de KPIs principais","1727822440,107756"
"Tela do aplicativo solar","1727903490,698417"
"Estratégia de Marketing com Influencers","1727910813,968971"
"Análise de Estacionamento Rentável","1728137816,299305"
"Maria de Betânia","1728213610,999986"
"Travar células no Excel","1728260681,875884"
"Roteiro VSL Máquina do Excel","1728329828,547082"
"Quem foi Jó na Bíblia","1728387569,028611"
"Ajuda para prova faculdade","1728422909,345728"
"Altura e peso informados","1728428950,811823"
"Profecias sobre Jesus Cristo","1728564219,696001"
"Pedro apóstolo na Bíblia","1728823449,50899"
"Caminho de Leitura Bíblica","1728823876,769833"
"Propósito através da ajuda","1729436371,793671"
"Terminando o que","1729450606,620205"
"Conceito de Big Data","1729557118,942912"
"Trajetória de Paulo em Atos","1729598917,781652"
"Conceito de avivamento bíblico","1729728323,536048"
"Dicas para super sensibilidade","1730141908,16523"
"Passagens bíblicas sobre mentira","1730332444,718608"
"Ponto turístico em Budapeste","1730472106,014121"
"Cura do filho do centurião","1730517323,736516"
"Melhore seu setup!","1720275338,81332"
"Implementação Banco de Dados","1731013528,696858"
"Sétuplo Espírito no Apocalipse","1731428326,942313"
"O que é divindade","1731533106,572884"
"Problemas no Excel","1731590171,285411"
"Livros e Filosofias Principais","1731863071,065948"
"Fontes de Renda Extras","1732157638,953707"
"Serviços de marido de aluguel","1732321038,254492"
"Investir ou comprar casa","1732393155,475015"
"Valor do Bitcoin abril 2024","1732570305,546423"
"Planejamento de Leitura 2023","1732583121,373513"
"Isaías e o exílio","1732891289,093379"
"Espírito Santo nos Crentes","1732899630,346694"
"Leitura de Provérbios e Salomão","1733103173,438132"
"Bancos NoSQL Justificativa","1733179182,739366"
"Deus e o controle natural","1733359396,646079"
"Teoria Maria Madalena Jesus","1733362961,230526"
"Revoluções Industriais e Tecnologia","1733437107,817673"
"Impacto dos Dados Analíticos","1733521651,377512"
"Cidades inteligentes em Joinville","1733522572,777076"
"Cidades Inteligentes e Tecnologia","1733522921,391361"
"Análise de gráfico FII","1733877834,519287"
"Métricas FII KNIP11","1733970867,741108"
"Análise financeira Tupy S.A.","1734917678,357638"
"Carteira de Investimentos Sucesso","1734985625,371842"
"Carteira de Investimentos","1734986095,410579"
"Meditação sobre Provérbios 1","1735658466,997116"
"Orientação Leitura Salmos","1735764452,778926"
"Melhor metodologia para inglês","1736518519,64996"
"Estudo de Hermenêutica Bíblica","1736734527,691472"
"Salomão Lições e Sucesso","1736820502,221922"
"Perda de metal porcentual","1737035283,504448"
"Aplicar dinheiro curto prazo","1737242834,622394"
"Mercado de Agentes IA","1737318240,164056"
"Gráfico diário de movimentação","1737386402,361477"
"Erro conversão Power Query","1737425399,034942"
"Relacionamento Power BI Tags","1737467494,055622"
"Trump investimento IA EUA","1737502263,898537"
"Pesquisa em tempo real","1737899287,210371"
"Novas Funcionalidades Assistente","1738027646,345755"
"Especialista em Cartões Crédito","1738220600,433443"
"Fontes de Renda Extra","1738378545,872792"
"Roteiros de Polêmicas Futebol","1738509501,1048"
"Vendas móveis online","1738606975,610403"
"Tempo de cafeína no sangue","1738618490,940218"
"Máquina do Excel Retomada","1738798455,314566"
"O que são sinônimos","1738974856,917453"
"Tags de Gastos Essenciais","1739043849,265485"
"Análise de Ingredientes","1739129470,806228"
"Equilíbrio mente coração espírito","1739211863,698258"
"Análise PC Montado","1739223637,234013"
"Melhoria Rendimento Metalúrgico","1739560654,87376"
"Funções DAX no Power BI","1739619120,150506"
"Piscina de ondas Abu Dhabi","1739717098,232372"
"Investimentos e liberdade financeira","1739759781,335452"
"Carteira de Investimentos Pedro","1739811890,718502"
"Treino hipertrofia 33 anos","1740648167,513422"
"Perspectivas Agro e FIIs","1740759930,745589"
"Essência Computação Quântica","1740830288,330458"
"Reflexão e Crescimento Pessoal","1740852984,878619"
"Desvendando Máscaras Pessoais","1740853026,875328"
"Avenida Arborizada Joinvilha","1740950748,709209"
"Livros do Novo Testamento","1741435180,822712"
"New chat","1741641994,694653"
"Software para comparativos","1741642009,738932"
"Variação de receita e despesa","1741651890,52645"
"Cálculo de porcentagem","1741864783,77586"
"Ferramentas para Investidores","1742002384,169749"
"Reflexões espirituais profundas","1742221432,497079"
"Investindo com filhos","1742229197,966777"
"Investimentos líquidos e rentáveis","1742236310,400765"
"Dieta Cetogênica Explicada","1742315907,741391"
"Oração de São Francisco","1742844474,444246"
"Treino ABC Halteres Hipertrofia","1742911066,411601"
"História em quadrinhos Egito","1743306799,746407"
"Jesus e o Tabernáculo","1743328340,251436"
"Imagem estilo Ghibli","1743524948,311565"
"Atletas Olimpíadas 2024 Países","1743598556,300153"
"Fazendo amigos na cidade","1743598566,622241"
"Recomendação com base dados","1743598581,69696"
"Campanha Publicitária Produto Oficial","1743598860,971785"
"Entendimento de Férias Pagas","1743618920,464254"
"Capa revista Bichos Fofos","1743705226,16483"
"Boneco Pedro Wille Design","1743705496,023221"
"Poder da palavra Aleluia","1743773887,942865"
"Rendimento diário CDB 12%","1743782740,89494"
"Foto jogando tênis","1743986072,867218"
"Parábola dos Dois Filhos","1744286007,218536"
"Águia Robótica Desenhada","1744302617,555451"
"Gestão de Compras e Resultados","1744430145,73954"
"Experimento Fenda Dupla","1744767751,664291"
"Diversificação Setor vs Segmento","1744846275,206722"
"Data do nascimento de Jesus","1744929645,11063"
"Automação de Newsletter","1744937079,268809"
"Jesus Platão Aristóteles épocas","1745028482,450412"
"Estratégia E-commerce Moraê","1745079574,42724"
"Variação de cota x Rentabilidade","1745089352,762372"
"Macronutrientes e Vitaminas","1745114058,799076"
"Ressurreição de Jesus","1745189273,330964"
"Jesus e Pôncio Pilatos","1745201999,626183"
"Mortes causadas por Hitler","1745278593,585954"
"Definir turnos no Excel","1745499530,289837"
"Desenvolvimento de Projetos Tupi","1745532679,055307"
"Currículo Marcos Wille","1745594873,550543"
"Elaborar pensamento junto","1745619830,006678"
"Simbologia e Mitologia Atual","1745630363,561281"
"Simbologias modernas e mitológicas","1745630410,714753"
"Alinhamento corpo mente espírito","1745633402,155898"
"Correção fórmula de turnos","1745671623,604514"
"Análise de Vazamentos Automáticos","1745695104,147591"
"DePIN Mercado e Crescimento","1745796026,228902"
"Por que ler Platão","1745807792,385317"
"Literatura e Reflexão Filosófica","1745967662,214322"
"TUPY3 Resultado 1T 2025","1746062050,507841"
"Análise de Ações Trimestral","1746062739,776448"
"Análise de carteira de ações","1746064342,420323"
"Solicitação Treinamento Vazadora C4","1746111667,509062"
"Filme Como Vender a Lua","1746381224,556136"
"Como Vender a Lua","1746383549,236077"
"Caminho até o Papado","1746726408,087155"
"Cálculo de volumes","1746795775,954579"
"Projeção de Renda Passiva","1746841486,826256"
"Evangelhos gnósticos e autoconhecimento","1746846391,807034"
"Declarar aluguel IR 2025","1746895834,243369"
"Desejo e Moral em Jesus","1746929334,382981"
"O que você é","1747008825,71633"
"Pastores e Pedras Místicas","1747016237,629507"
"Versículos sobre livre-arbítrio","1747066746,780146"
"Deus criou Lúcifer","1747068717,973124"
"Como calcular raiz quadrada","1747101026,810644"
"Ordem dos Filósofos","1747176512,68976"
"Calendário para escala 6x2","1747230015,154009"
"Messias no Islamismo","1747237073,337192"
"Moldes de chuteira 43","1747270105,698051"
"Velocidade da luz e JWST","1747343199,023346"
"O que é o zoroastrismo","1747527566,749116"
"Precificação de ingressos no futebol","1747584252,657844"
"Reflexão sobre o tédio","1747612116,186206"
"Requisitos Kings League Brasil","1747612781,294727"
"Ex-jogadores Palmeiras no Galo","1747613811,945229"
"Linguagens para IA","1747750758,493613"
"Desenhando mapa-múndi correto","1747764237,834369"
"Converter data com ponto","1747930973,786489"
"Reunião dificuldades terceirizada","1748012798,511587"
"Comprar Bitcoin sem corretora","1748086777,510055"
"Você está bem?","1748126805,078146"
"Churrasco com alce","1748303003,010295"
"Resumo Livro 1 República","1748411341,476564"
"Contato com tabelionato","1748452231,266872"
"Faixas Etárias de Juventude","1748602046,365801"
"Calculadora Facit CI-13","1748700066,454852"
"Árvore genealógica","1748720667,939795"
"Fluxo MESS Oráculo","1748886089,07201"
"Corpos ressuscitados em Coríntios","1749295652,344683"
"Corrupção na Fifa","1749512011,969818"
"Mineração em Nuvem Explicada","1749958736,651531"
"Descendentes de Noé","1750016982,814133"
"Prompt para vídeo bíblico","1750048284,319739"
"Locução e oportunidades de voz","1750105934,174183"
"Raciocínio Filosófico Assistido","1750154648,733288"
"Simulação Copa Futebol","1750600873,990861"
"Assinatura histórica pessoal","1750678493,166097"
"Análise Profunda Pessoal","1750680459,76287"
"Soma de atividades por turno","1751110911,709336"
"Probabilidade de Precipitação","1751202995,274759"
"Retrato em Preto e Branco","1751284158,473693"
"Conversa confiante e clara","1751304913,96779"
"Bio para Instagram","1751412843,26039"
"Saída fiscal Uruguai","1751895137,633739"
"Características de um homem charmoso","1751990304,38018"
"Semana começando no domingo","1752003901,713976"
"Problema de ferro produção","1752241774,449681"
"Histórias ocultas de Salomão","1752272239,433019"
"Link Word no Excel","1752339669,777956"
"Converter número para texto","1752417311,753388"
"Livros para o Homem","1752463657,78255"
"Endividamento da Tupy","1752768594,31259"
"Função e Doenças da Mielina","1752850105,989807"
"Texto copiado e resumido","1752857338,783057"
"Contagem de Letras Bíblicas","1752930418,577844"
"Cálculo da força peso","1752981985,911183"
"Proteger Wi-Fi Seguro","1752994430,995011"
"Futuro da programação e IA","1752995645,685178"
"Tipos sanguíneos e personalidade","1753187762,156422"
"Linha genealógica de Ada","1753322329,886118"
"Thumbnail YouTube Brawl Stars","1753410272,047468"
"Mídia e Esporte","1753455697,190027"
"Ditados populares brasileiros","1753479407,808565"
"Ficar milionário rápido","1753484906,589278"
"Vendedor e Lamborghini White Collar","1753547478,390693"
"Gorduras e Alimentação Saudável","1753793997,532167"
"Ferramentas para Reparos Domésticos","1753796313,009428"
"Reparo Reápido","1753892818,015918"
"Ferrovia de Emancipation","1753896573,657433"
"Curso de inglês prático","1754139126,52639"
"Dicas para conhecer amigo","1754258966,568676"
"Vender ou comprar ações","1754503247,852121"
"Treinar filhos na prática","1754525358,078845"
"Punições de Deus na Bíblia","1754693784,644576"
"Explicação sobre dólar e Bitcoin","1754753344,459677"
"Analisando gráfico do Bitcoin","1754756783,87014"
"Produto único online","1754757570,883264"
"Small caps mercado brasileiro","1755084065,159552"
"Reescrever em formato erudito","1755098005,960347"
"Davi entre os filisteus","1755221677,94903"
"Dossiê sobre terras raras","1755384483,728769"
"Erro no cálculo","1755563086,650721"
"Desenvolver pensamento profundo","1755912303,462117"
"Israel e Judá na Bíblia","1756033079,565991"
"Script criativo reparo rápido","1756036376,549596"
"Catálogo de Reparo Rápido","1756254555,379434"
"Censo e castigo em Samuel","1756550711,400003"
"Imagem sobre vendas atemporais","1756910781,637727"
"Cálculo custo café","1757176076,111872"
"Explicação sobre A Origem","1757205777,709649"
"Compra direitos transmissão futebol","1757258687,799172"
"Estratégia de marketing e anúncios","1757262533,658401"
"Criação de imagem para oferta","1757263514,322461"
"Peaky Blinders análise","1757284002,474649"
"Reflexão sobre a vida","1757285622,33963"
"Opinión sobre tema","1757285634,539142"
"Script para IA analisar livro","1757298606,175998"
"Guia de aplicação prática","1757299013,668614"
"New chat","1757339238,029474"
"Contar palavras em PDF","1757347425,238365"
"Uso de arquivos enviados","1757380184,916155"
"Estudo dos livros","1757380339,662622"
"Ajudar raciocínio usuário","1757546992,812493"
"Mensagem de boas-vindas","1757550163,16423"
"Oferta direta vídeo mulher","1757765484,686738"
"Criativos para tráfego","1758027063,46526"
"Considerações sobre currículo","1758231850,990925"
"Transformar em Excel","1758244406,529474"
"Análise de PC gamer","1758582613,483216"
"Flyer oferta reparo rápido","1758633129,838636"
"Script AIDA anúncio","1758988390,724807"
"Bio curta criação","1759189161,201485"
"Deus é espírito João 4:24","1759191204,632033"
"Criar prompt imagens relógio","1759258677,899366"
"Treino ABCDE hipertrofia","1759310419,685436"
"Separar turnos no Excel","1759428713,662824"
"Funil de captação solar","1759526125,84491"
"Obediência no Senhor","1759532364,312133"
"Narração de futebol","1759606494,120294"
"Estudo livro Santo Agostinho","1759696718,34381"
"Treino de costas","1759739823,350735"
"Treino ABCDE 55 minutos","1759741780,734545"
"Descrição experiência Tupy","1759862108,85394"
"Reflexão sobre a vida","1759878973,699972"
"Quem foi Santo Agostinho","1759962320,638932"
"Metodologia revenda carros","1760284843,666148"
"Padrões no empreendedorismo","1760288329,782431"
"Calendário iPhone ou Notion","1760360543,346055"
"Ajuste de treino específico","1760521238,565879"
"Erros invisíveis diários","1760555649,64573"
"Quem segou os olhos","1761126802,315292"
"Gerações de 1950 a 2025","1761338151,958744"
"Plano de qualificação iGreen","1761490119,164383"
"Licenciamento iGreen Energy","1761508976,372488"
"Transição energética Brasil","1761514523,422687"
"Resumo proposta subsídios GD","1761581268,416716"
"Pitch de licenciamento iGreen","1761680203,007408"
"Mercado livre de energia","1761688000,640715"
"Captar clientes no LinkedIn","1761768979,855405"
"Posicionamento digital inicial","1761769549,484159"
"Opinião sobre iGreen","1761776565,771867"
"Pitch de vendas personalizado","1761784505,998889"
"Análise de comissões","1761824013,838475"
"Plano de ação inicial","1761859670,645184"
"Posicionamento e abordagem profissional","1761862302,247198"
"Criativo para tráfego pago","1761873132,948989"
"Cadastro no iGreen","1761874791,313401"
"Foco em vendas e online","1761956924,588399"
"Criar rota VPS","1761961850,076454"
"Conteúdo para congresso iGreen","1762077699,574879"
"Custo de disponibilidade ANEEL","1762082019,623437"
"Pitch de venda empresarial","1762215731,288518"
"Descrição WhatsApp iGreen","1762301075,230787"
"Perfil social profissional","1762302531,009971"
"Ajustar bio com propósito","1762352209,604822"
"Roteiro vídeo Instagram","1762386085,720503"
"Prompt para mentor MMN","1762522278,004991"
"Plano Estratégico iGreen","1762526600,37302"
"Escada de valor cliente","1762528175,102556"
"Reflexão sobre mudança divina","1762542848,562219"
"Objeções e respostas estratégicas","1762544026,105007"
"Estratégia de funil completa","1762550944,763068"
"Nome comunidade sustentabilidade","1762555985,799786"
"Abordagem influenciador digital","1762568322,387939"
"Mercado de baterias 2025","1762603458,75013"
"Plugins para produtividade","1762613598,474395"
"Automação WhatsApp Zapier","1762619296,028175"
"Próximos passos no projeto","1762622618,261585"
"Zapier para automações iGreen","1762624064,690292"
"Estratégia com influenciadores","1762626791,520475"
"Postagens para engajamento","1762636755,666178"
"GPTs personalizados no ChatGPT","1762692211,973818"
"Pesquisa sobre livros","1762724580,331348"
"New chat","1762780461,613724"
"Descrição Instagram iGreen","1762783907,541333"
"Mensagem para WhatsApp","1762791886,681552"
"Mensagem para Rubén","1762795750,795252"
"Montar Linktree profissional","1762797766,429808"
"O que é workaholic","1762813317,371746"
"Biografia para Linktree","1762816461,064817"
"Script de prospecção presencial","1762889547,433156"
"Automação gestão leads eGreen","1762895190,826664"
"Criar flyer no Canva","1762900176,735539"
"Traga texto da postagem","1762982123,861489"
"RA1000 e textos postagens","1762992011,344697"
"Pitch para Reels Instagram","1763046002,016411"
"Conexão Livre iGreen","1763062846,274516"
"Plano de expansão iGreen","1763075295,6258"
"New chat","1763163898,125219"
"Perfil pessoal e iGreen","1763231822,328975"
"Frases sobre desconto automático","1763384142,448799"
"Matriz de captação produtos","1763406649,155882"
"Estratégias de captação","1763406994,821671"
"Integração com Google Drive","1763408064,887115"
"Postagem redes sociais hoje","1763415078,7372"
"Organização e foco no trabalho","1763416105,733523"
"Produto campeão vídeo","1763417991,925629"
"Estudo sobre custos fixos","1763422221,751875"
"Lei 14.300 explicada","1763424312,440564"
"Montar funil Bitrix24","1763491757,626907"
"Salvar fontes em curvas","1763598315,37738"
"Captação de clientes","1763729641,550417"
"Serviços no Linkedin","1763758309,455869"
"Estrutura de venda templates","1763776940,720404"
"New chat","1763834630,280797"
"Postagem sobre a Bíblia","1763912023,083408"
"Roteiro vídeo energia assinatura","1763918199,802065"
"Mensagem pronta para encaminhar","1764027040,614355"
"Escolha de fornecedor de energia","1764161135,703848"
"Roteiro anúncio iGreen","1764280816,1229"
"Usina fotovoltaica investimento","1764285352,829681"
"Dificuldade em vender para conhecidos","1764307951,944122"
"Cura do leproso bíblica","1764311627,592977"
"Resumo projeto automação sites","1764460859,627383"
"Escopo IGreen Energy","1764504210,668695"
"Escopo iGreen Energy","1764504505,964695"
"Entender quadro Última Ceia","1764637616,930734"
"Análise de script de vendas","1764697747,060289"
"Análise de pitch","1764697773,230485"
"Rotina personalizada para Marcos","1764799444,968017"
"Criar tabela planejamento","1764801196,177256"
"Criar postagens LinkedIn Instagram","1764801490,387533"
"Criar bio para energia","1764810297,739092"
"Regras para perfil de sucesso","1764874706,898445"
"Estratégia influenciador licenciado","1764885540,233278"
"Análise criativo tráfego pago","1765035439,895409"
"Ansiedade no começo de negócios","1765039482,705458"
"Roteiro para Licenciado (ADS)","1765045195,25856"
"Licenciamento versus franquia","1765052434,347671"
"Descrição para postagem Instagram","1765305517,824178"
"Estrutura agente WhatsApp","1765726391,021464"
"Começar processo de criação","1765726889,777224"
"Fluxo automação WhatsApp","1765727457,62734"
"Iniciar coleta informações","1765731346,654149"
"Iniciar coleta informações","1765731374,753036"
"Ferramentas VPS e resumos","1765750597,96652"
"Explicação sobre OpenAI","1765810236,69924"
"Apagar conversa arquivada","1765810384,870326"
"Explicação bíblica música cristã","1765810515,215024"
"Orientação para conversa difícil","1765816614,00807"
"Prompt para agente SEO","1765825436,155353"
"Página blog remarketing Conexão Green","1765826941,155862"
"Problemas com anúncios Meta","1765973840,306825"
"Análise de orçamento solar","1765994209,674532"
"Estrutura de bio e postagens","1766005727,477123"
"Estratégia de remarketing","1766014876,713775"
"Como comentar em stories","1766186335,583299"
"Estratégia tráfego pago","1766320545,873158"
"Estratégia Conexão Green","1766504087,524929"
"Prostrar-se e adorar","1766762082,786168"
"Posicionamento Corporate Holding","1766777850,432884"
"Análise de Conversão iGreen","1766804096,374525"
"Ajuste Roteiro Cena","1766934556,362366"
"Semente Hub Digital Estratégico","1766944411,790341"
"Autenticação com Supabase","1767229887,16608"
"Prompt Mestre Storytelling","1767273650,761474"
"Técnicas de Venda n8n","1767282976,581422"
"Script Vídeo de Venda","1767296788,354914"
"O que é modelo de negócio","1767374193,123653"
"Texto para vídeo 1min30s","1767402503,832295"
"Low tiket - Artes para redes sociais","1767443963,584426"
"Marketing Content Strategy Feedback","1705971105,861373"
"Frases para Stories","1767664524,532412"
"Roteiro de Vendas Conexão Green","1767842559,178032"
"Lucro vs Markup","1767921378,321533"
"Conceitos de Numerologia","1768056927,709736"
"YHWH na Bíblia Original","1768063591,314758"
"Moto cilindros e ronco","1768223610,097042"
"Criar imagem para tabloide","1768612426,419153"
"Análise de conversão site","1768664260,420655"
"SaaS para tabloide online","1768669918,753731"
"Métodos para Atração de Clientes","1768753391,37598"
"Estrutura de Páginas de Blog","1768754783,22247"
"Ajuste Criativo Conexão Green","1768759322,106689"
"Desalinhamento do projeto Semente Hub","1768884369,843648"
"Plataforma de preços locais","1769142599,105249"
"Unidades consumidoras necessárias","1769254912,315492"
"Resumo iGreen WhatsApp","1769429553,180501"
"Estratégia de Venda Lead","1769537207,597542"
"Análise de mensagem de vendas","1769628419,231189"
"Descrição Reels Márcio Garcia","1769801950,002389"
"Edição de imagem com motorista","1769846547,984418"
"Estratégias de prospecção","1769992371,259406"
"Símbolos de cargos e profissões","1770395596,736805"
"Arquétipos Águia e Cavalo","1770395886,625172"
"Estratégia de Conversa Leve","1770641374,732969"
"Caricatura personalizada para trabalho","1770647799,506784"
"Placa Solar vs Conexão Grid","1770655876,213727"
"Descrição Conexão Solar","1770662255,189895"
"Estratégia de Storiez","1770810818,725826"
"Ajuste página blog 2026","1770849074,564098"
"Descrição da voz pessoal","1770851994,036859"
"New chat","1770858832,791103"
"Excelência no marketing multinível","1770859681,793685"
"Estratégia Conexão Green","1770919464,4848"
"Estratégia de Vendas Sem Pressão","1770987426,177384"
"Oferecer serviços de energia","1771000991,474667"
"Resposta para encontro futuro","1771112641,515702"
"Estratégia de Landing Page","1771163132,889675"
"Estratégia Pacote Artes Semente","1771189920,232545"
"Texto alternativo Hotmart","1771192713,010089"
"Análise de Chamada","1771246757,476256"
"Maturidade e paternidade","1771272962,931983"
"Análise de Crescimento iGreen","1771274198,7763"
"Nomeação de Produto","1771282426,402435"
"Nome Pack de Artes","1771282716,004686"
"Estratégia de Funil de Vendas","1771284039,914119"
"Estratégia de Crescimento Recorrente","1771366618,422319"
"Reescrita de Texto Institucional","1771370113,265889"
"Funil de vendas corretores energia","1771375573,903727"
"Estratégia de Captação ToFu","1771437588,834627"
"Estratégia de Prompt","1771438755,672132"
"Modelo de Venda iGreen","1771450960,719317"
"Pitch suave para reunião","1771509288,714957"
"Estudo de caso pioneiros","1771522082,247518"
"Estudo de caso pioneiros","1771522092,389732"
"Energia até 2030","1771529149,851392"
"Energia solar sem instalação","1771542765,957569"
"Landing page e análise","1771584833,617168"
"Conexão Expansão iGreen","1771682255,170055"
"Análise de Funil de Blog","1771698241,894838"
"Trackeamento no GTM","1771707437,249348"
"Estratégia de Ecossistema B2B","1771713015,010362"
"IDs Botões Funil Blog","1771892459,566836"
"Análise de Lead Carlos","1771900193,584507"
"Estratégia de Expansão iGreen","1771902771,277622"
"Landing Page Análise","1771960255,055797"
"Cronograma de Postagens 90 Dias","1771962063,47095"
"Criando e Compartilhando GPTs","1771969061,913901"
"Proposta Parceria Energia Solar","1772048118,947158"
"Mensagem de recepção","1772062982,676696"
"Análise de conversa WhatsApp","1772066360,770081"
"Análise de lead","1772066534,83511"
"Iniciar conversa com lead","1772127909,851063"
"Funil para Empresários","1772133796,714627"
"Leitura Estratégica de Lead","1772198858,158107"
"Estratégia de Expansão eGreen","1772329253,762702"
"Análise e Espelhamento de Página","1772333552,32693"
"Gestão de Lead","1772363414,69824"
"Recuperar ebook perdido","1772364559,424463"
"Análise Maratona 90 Dias","1772400751,95387"
"Guerra Irã Israel 2026","1772499932,220014"
"Estratégia de Credibilidade","1772540022,521773"
"Sistema Operacional Licenciado","1772578171,196675"
"Matemática 6ª série","1772748624,258621"
"Russell Brunson Marketing","1772832340,029696"
"Perguntas para presidente iGreen","1773007670,291371"
"Estratégias de Escala MMN","1773009298,292233"
"Frases para evento iGreen","1773026133,125866"
"Objeção emocional disfarçada","1773063066,341869"
"Terceiro céu e humildade","1773067386,832025"
"Proposta de Expansão Joinville","1773085144,161562"
"Estratégias de MMN","1773092572,9798"
"Script vídeo gestor tráfego","1773180640,202893"
"Análise de abordagem de prospecção","1773191401,276547"
"Estratégia de abordagem venda","1773250080,093457"
"Estratégia de abordagem comercial","1773250094,102309"
"Mensagem para corretor","1773260607,436895"
"Abordagem para corretor Instagram","1773260713,857868"
"Organização e Execução Focada","1773277570,437706"
"Currículo Amarildo Construção","1773333582,059575"
"Marketing 4S Explicado","1773489490,505923"
"Planejamento de Gravações","1773492624,354601"
"Martim Lutero e Reforma","1773581020,894622"
"Conteúdos para Funil","1773599752,987769"
"Pesquisa de mercado iGreen","1773606902,134402"
"Legenda para Reels iGreen","1773698525,661934"
"Histórias com analogias","1773771620,910819"
"Como Fazer Cenário Virtual","1773848487,34389"
"Roteiro iGreen Quadrante","1774046385,146078"
"Estratégia de Funil de Recrutamento","1774102166,698891"
"Tradução aramaica Pai Nosso","1774151509,129687"
"Anúncio para Gestor","1774193903,802394"
"Anúncio para lojistas de celular","1774194062,779769"
"Estratégias Instagram Vendas","1774205708,896468"
"Criação de Lista MMN","1774473944,689366"
"Ferramentas IA para Negócios","1774695758,400271"
"Caminho para Alta Performance","1774896907,770204"
"Estratégia de Apostas","1775085896,881138"
